# Frequency(TeraHz)	DOS
9.12	0.2992
9.14	0.2924
9.16	0.308666666667
9.18	0.3156
9.2	0.3072
9.22	0.307066666667
9.24	0.31
9.26	0.309733333333
9.28	0.3148
9.3	0.322666666667
9.32	0.308
9.34	0.244533333333
9.36	0.215333333333
9.38	0.204
9.4	0.1788
9.42	0.1624
9.44	0.140933333333
9.46	0.127333333333
9.48	0.1088
9.5	0.088
9.52	0.064
9.54	0.0422666666667
9.56	0.0384
9.58	0.0246666666667
9.6	0.0112
9.62	0.0
9.64	0.0
9.66	0.0
9.68	0.0
9.7	0.0
9.72	0.0
9.74	0.0
9.76	0.0
9.78	0.0
